XCOOR,YCOOR,Village,Commune,Ditrict,Households_2016,Female_2016,Male_2016,Female_headed_HH,Lat,Lon
296758,1559997,Kouk Samraong,Banteay Chhmar,Thma Puok,318,507,518,18,14.10359245,103.117423
289310,1559158,Kbal Tonsaong,Banteay Chhmar,Thma Puok,345,585,645,29,14.09546175,103.0485266
294684,1556274,Banteay Chhmar Cheung,Banteay Chhmar,Thma Puok,470,791,789,26,14.0697971,103.0984981
303100,1552100,Kbal Krabei,Banteay Chhmar,Thma Puok,410,612,661,18,14.03267647,103.1767117
295437,1554858,Banteay Chhmar Tboung,Banteay Chhmar,Thma Puok,553,"1,065",992,91,14.05705556,103.1055746
292140,1557068,Banteay Chhmar Lech,Banteay Chhmar,Thma Puok,375,809,826,38,14.07678563,103.0748866
292745,1551157,Thma Daekkeh,Banteay Chhmar,Thma Puok,259,748,704,37,14.0234134,103.0809328
283125,1567123,Thlok,Banteay Chhmar,Thma Puok,331,485,492,6,14.16696536,102.9906323
297134,1559981,Kouk Samraong Kaeut,Banteay Chhmar,Thma Puok,240,384,419,15,14.10347505,103.1209057
294613,1555310,Srah Chrey,Banteay Chhmar,Thma Puok,248,475,455,155,14.06108032,103.0979129
278571,1566521,Dang Reaek,Banteay Chhmar,Thma Puok,149,241,302,13,14.16116859,102.9485069
277983,1563124,Prasat Tbaeng,Banteay Chhmar,Thma Puok,513,934,960,39,14.13042658,102.9433378
303534,1555963,Prey Sangha,Banteay Chhmar,Thma Puok,158,464,467,16,14.06761809,103.1804533
302654,1559734,Trapeang Thlok,Banteay Chhmar,Thma Puok,108,193,207,7,14.10163622,103.172035
278471,1543704,Kouk Prech,Kouk Romiet,Thma Puok,617,"1,035","1,148",54,13.95498344,102.9494186
278363,1548233,Srae L'a,Kouk Romiet,Thma Puok,686,"1,287","1,349",68,13.99589988,102.9480567
279300,1546600,Kouk Romiet,Kouk Romiet,Thma Puok,245,448,422,43,13.98121695,102.956858
280600,1548100,Sdau,Kouk Romiet,Thma Puok,64,116,112,3,13.99487233,102.9687684
278649,1548732,Thmei,Kouk Romiet,Thma Puok,423,783,801,42,14.00043132,102.9506634
277491,1547080,Ta Lei,Kouk Romiet,Thma Puok,170,300,282,11,13.98541282,102.9400801
276492,1548076,Sereika,Kouk Romiet,Thma Puok,46,79,75,3,13.9943341,102.9307555
273469,1546645,Ta Song,Kouk Romiet,Thma Puok,153,257,348,42,13.98116343,102.9028988
272542,1546661,Trapeang Samraong,Kouk Romiet,Thma Puok,385,837,753,65,13.98123375,102.89432
270997,1547147,Thnal Bambaek,Kouk Romiet,Thma Puok,311,666,623,25,13.9855007,102.8799839
269933,1548050,Thma Chhatr,Kouk Romiet,Thma Puok,86,166,170,8,13.99357375,102.8700635
268995,1547213,Voa Preng,Kouk Romiet,Thma Puok,95,171,193,15,13.98593451,102.8614538
277890,1548097,Pram Minea,Kouk Romiet,Thma Puok,83,150,148,8,13.99463389,102.9436906
283402,1547327,Sameakki,Kouk Romiet,Thma Puok,297,589,612,7,13.98810296,102.9947589
268180,1543864,Banteay Mean Rit,Kouk Romiet,Thma Puok,528,"1,331","1,314",39,13.95560758,102.854193
276048,1551483,Spean,Kouk Romiet,Thma Puok,116,228,239,8,14.02508478,102.9263705
280019,1540476,Kandaol,Kouk Romiet,Thma Puok,336,567,524,27,13.92593463,102.963997
276007,1552420,Kdeb Thma,Kouk Romiet,Thma Puok,247,526,556,18,14.03354828,102.9259149
273913,1547944,Boeng Ta Srei,Kouk Romiet,Thma Puok,338,615,726,27,13.99293657,102.906901
283561,1539873,Boeng Sokram,Kouk Romiet,Thma Puok,111,259,250,8,13.92075726,102.9968121
273743,1566767,Ta Mang,Kouk Romiet,Thma Puok,199,402,434,13,14.16300492,102.9037772
290700,1538600,Kab Chaor,Phum Thmei,Thma Puok,416,878,877,47,13.90978724,103.0629536
291200,1537800,Kouk Svay,Phum Thmei,Thma Puok,227,507,469,31,13.90259442,103.0676391
291500,1537100,Rolum Chrey,Phum Thmei,Thma Puok,220,486,494,7,13.89629054,103.0704668
291800,1536100,Thmei Khang Lech,Phum Thmei,Thma Puok,314,664,639,15,13.88727553,103.0733167
292000,1535600,Thmei Kandal,Phum Thmei,Thma Puok,305,632,642,23,13.88277164,103.0752041
292221,1535051,Thmei Khang Tboung,Phum Thmei,Thma Puok,271,624,577,6,13.87782644,103.0772893
293184,1533685,Totea,Phum Thmei,Thma Puok,94,381,319,13,13.86555178,103.0862982
290510,1541511,Thma Puok,Thma Puok,Thma Puok,367,802,762,42,13.93607954,103.0609765
290917,1541021,Neak Ta,Thma Puok,Thma Puok,349,662,727,54,13.93168144,103.064779
290500,1541900,Voat Chas,Thma Puok,Thma Puok,214,465,447,13,13.93959413,103.0608546
289814,1541910,Kasen,Thma Puok,Thma Puok,421,817,712,43,13.93963385,103.0545068
291400,1540700,Svay,Thma Puok,Thma Puok,359,847,817,49,13.92881606,103.0692718
296200,1549300,Thnal Dach,Thma Puok,Thma Puok,436,803,789,5,14.00688299,103.1130489
298380,1549055,Anlong Trach,Thma Puok,Thma Puok,112,233,244,4,14.00482514,103.1332434
293132,1531967,Deu,Kouk Kakthen,Thma Puok,190,375,363,8,13.85002241,103.0859444
293566,1533131,Sdau,Kouk Kakthen,Thma Puok,122,235,256,18,13.86057288,103.0898725
296673,1533761,Treas,Kouk Kakthen,Thma Puok,583,997,"2,000",65,13.86648895,103.1185645
297200,1533500,Kouk Kakthen,Kouk Kakthen,Thma Puok,228,818,818,16,13.86416768,103.1234581
301064,1534309,Ta Siev,Kouk Kakthen,Thma Puok,180,384,334, -   ,13.87175048,103.1591414
302053,1534242,Chonloas Dai,Kouk Kakthen,Thma Puok,220,426,413, -   ,13.87121368,103.1682946
303400,1533300,Ta Trai,Kouk Kakthen,Thma Puok,228,480,472,19,13.86279336,103.1808209
295581,1535683,Preah Chhor,Kouk Kakthen,Thma Puok,90,167,194,3,13.88378042,103.108323
292470,1531071,Kouk Kpos,Kouk Kakthen,Thma Puok,295,593,640,13,13.84187732,103.0798881
289500,1542400,Andoung Khlong,Kumru,Thma Puok,348,682,676,29,13.94403864,103.0515644
289599,1541494,Kumru,Kumru,Thma Puok,417,873,826,64,13.93585864,103.0525491
286000,1544400,Ta Yueng,Kumru,Thma Puok,357,514,483,26,13.96185039,103.0190269
289589,1540900,Aekakpheap,Kumru,Thma Puok,113,358,358,12,13.93049004,103.0525015
289400,1540800,Phsar Thmei,Kumru,Thma Puok,258,552,515,39,13.92957238,103.0507605
288300,1543300,Svay Chrum,Kumru,Thma Puok,79,172,193,35,13.95208253,103.0403928
284477,1546298,Prey Veaeng,Kumru,Thma Puok,533,"1,099","1,028",48,13.97888641,103.004787
283895,1570805.268,Thma Romiel Keut,Banteay Chhmar,Thma Puok,318,697,684, -   ,14.20029908,102.997469
281340,1569437.674,Thma Romiel Lech,Banteay Chhmar,Thma Puok,291,880,748,10,14.18774209,102.973915
